Name,Pos,Pts,G,Min,R,A,A%,S,BS,S%,PF,TO%,UR%,Ts,FG%,EFG%,2P%,TS%,OR%,DR%,TR%,3P%,FT%,PER
Stephen Curry,PG,35.83,23.0,956.0,181.8,193.8,40.4,28.7,8.6,2.0,58.6,14.6,37.4,86.1,59.7,74.8,70.8,79.4,2.4,22.5,12.6,51.7,92.25,39.8
Andrew Wiggins,SF,22.83,22.0,862.0,135.1,57.4,12.0,35.9,20.3,2.8,76.5,11.7,25.8,35.9,61.1,73.4,67.6,74.3,7.7,14.1,10.4,53.8,75.1,26.5
Klay Thompson,SG,21.53,20.0,726.0,84.9,58.6,14.1,14.4,10.0,1.3,41.9,10.5,30.2,38.3,48.1,62.8,50.5,65.2,2.7,12.9,9.2,46.6,98.62,20.3
Jordan Poole,PG,20.28,25.0,823.0,61.0,134.0,28.9,25.1,11.4,2.0,68.2,19.4,33.1,87.3,52.1,62.6,65.7,67.2,1.6,9.8,5.9,39.8,99.9,21.7
Draymond Green,PF,10.24,23.0,854.0,173.4,193.8,34.8,25.1,22.7,2.0,88.5,30.8,15.2,65.8,66.9,71.9,76.4,74.0,3.6,23.2,13.4,37.6,86.4,19.7
James Wiseman,C,8.15,11.0,176.0,50.2,13.2,13.0,1.4,5.7,0.5,31.1,13.8,23.8,11.4,70.3,70.3,70.3,73.6,10.2,27.1,18.9,0.0,78.0,23.6
Kevon Looney,C,7.61,25.0,677.0,216.5,84.9,19.4,12.0,15.5,1.2,82.5,11.1,11.5,12.0,79.8,79.8,79.8,80.3,13.5,28.4,21.1,0.0,72.4,23.4
Anthony Lamb,SF,6.89,17.0,372.0,69.4,33.5,14.0,12.0,5.7,2.1,49.0,22.7,15.4,21.5,62.2,76.5,86.6,76.1,6.3,19.0,12.3,46.8,59.8,15.6
Ty Jerome,PG,6.82,10.0,177.0,10.8,22.7,20.0,1.4,1.4,0.4,14.4,10.8,15.1,5.7,64.9,75.2,79.8,84.2,1.1,8.3,4.8,49.3,100.0,19.4
Jonathan Kuminga,PF,6.72,21.0,399.0,73.0,22.7,10.7,10.0,12.0,1.4,50.2,23.0,21.3,32.3,52.1,56.8,66.5,62.2,8.8,16.6,12.1,28.3,89.7,12.3
JaMychal Green,PF,6.63,22.0,396.0,102.9,17.9,8.8,14.4,11.4,2.4,53.8,20.1,20.0,26.3,60.4,64.0,80.4,67.0,13.2,21.0,17.2,21.0,93.0,17.6
Donte DiVincenzo,SG,5.98,17.0,352.0,62.2,41.9,18.0,20.3,2.9,3.9,39.5,25.1,18.0,26.3,45.1,59.1,62.4,61.6,6.1,17.9,11.7,37.7,92.0,13.8
Moses Moody,SG,5.98,20.0,349.0,43.1,14.4,7.5,10.0,7.2,1.6,16.7,22.4,18.5,23.9,49.8,63.6,62.1,69.1,2.8,13.6,9.7,43.1,97.8,12.3
Patrick Baldwin Jr.,SF,3.0,4.0,29.0,8.6,0.0,0.0,4.3,0.0,8.4,0.0,10.9,23.2,1.4,47.8,59.8,100.0,59.8,0.0,32.1,16.5,29.9,0.0,20.3
Ryan Rollins,SG,2.56,7.0,50.0,10.0,4.3,10.9,0.0,0.0,0.0,10.8,51.5,33.2,14.4,39.8,47.8,34.2,56.1,3.8,18.1,10.9,44.8,100.0,-8.0
Golden State Warriors,,11.4,17.8,479.87,85.53,59.54,16.83,14.33,8.99,2.13,45.45,19.89,22.78,32.57,57.34,66.56,70.21,70.01,5.59,18.97,12.45,35.36,82.33,18.55
