StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
1010778,1,20000441,1,2023,Bradley Beal,WAS,SG,23,20000001,2023-01-02T05:12:02,23,992.0,947,66,244.0,462.9,63.0,68.7,200.9,337.3,71.3,43.1,125.6,41.0,116.0,135.1,102.6,23.9,74.2,98.1,4.1,10.0,8.2,143.5,27.5,16.7,76.5,51.4,647.0,522.3,74.2,30.0,29.6,2.0,2.1,15.3,33.1,1036.2,1056.7,1036.2,13.2,0.0,0.0,1056.7,False,,Scrambled
1011835,28,20000442,1,2023,John Wall,LAC,PG,3,20000028,2023-01-02T05:12:02,29,789.0,765,61,144.7,348.0,49.8,55.9,108.8,230.8,56.5,35.9,117.2,36.6,81.3,120.8,80.5,15.5,75.3,90.9,3.3,12.6,9.3,183.0,29.9,10.8,82.5,57.4,406.6,401.2,60.6,21.8,45.1,2.7,1.8,20.4,33.1,829.7,854.5,829.7,-95.7,1.4,0.0,854.5,False,,Scrambled
1011081,10,20000443,1,2023,Otto Porter Jr.,TOR,SF,2,20000010,2023-01-02T05:12:02,8,115.8,175,24,17.9,35.9,59.8,71.8,10.8,15.5,82.8,8.6,20.3,42.2,11.4,11.4,119.6,8.6,15.5,22.7,6.3,13.0,10.6,11.4,13.2,0.0,5.7,10.0,52.6,40.1,78.6,19.2,10.6,5.3,0.0,12.7,13.1,128.9,122.9,128.9,-25.1,0.0,0.0,122.9,False,,Scrambled
1011143,23,20000452,1,2023,Garrett Temple,NO,SG,0,20000023,2023-01-02T05:12:02,12,74.5,116,26,12.0,31.1,46.0,59.8,5.7,12.0,47.8,8.6,19.1,44.8,4.3,5.7,89.7,2.9,10.0,10.8,3.3,11.5,7.4,7.2,11.4,1.4,4.3,10.8,34.7,33.2,62.0,14.4,9.5,5.7,1.4,11.7,16.0,85.3,80.4,85.3,-37.1,0.0,0.0,80.4,False,,Scrambled
1010929,5,20000453,1,2023,Terrence Ross,ORL,SG,9,20000005,2023-01-02T05:12:02,33,508.5,908,63,123.2,299.0,49.3,60.3,69.4,142.3,58.2,53.8,156.7,41.1,14.4,20.3,84.4,10.8,68.2,78.9,1.9,10.1,7.0,50.2,25.1,8.6,40.7,55.0,314.5,307.9,61.1,11.4,11.5,1.9,1.1,13.9,20.0,540.8,559.7,540.8,-38.3,0.0,0.0,559.7,False,,Scrambled
1010829,23,20000455,1,2023,Jonas Valanciunas,NO,C,36,20000023,2023-01-02T05:12:02,36,1170.9,1045,28,226.0,437.7,61.7,65.3,198.5,358.8,66.1,27.5,78.9,41.6,101.7,120.8,100.7,123.2,277.5,400.7,15.8,35.5,25.6,76.5,16.7,20.3,80.1,128.0,581.3,490.9,70.8,27.1,13.3,1.1,2.6,16.8,27.6,1208.0,1271.6,1208.0,34.7,17.9,0.0,1271.6,False,,Scrambled
1010910,11,20000456,1,2023,DeMar DeRozan,CHI,SF,36,20000011,2023-01-02T05:12:02,36,1747.6,1550,43,399.5,785.8,60.8,62.1,382.7,726.0,63.0,16.7,59.8,33.5,312.2,351.6,106.2,22.7,199.7,222.5,2.4,17.4,11.6,212.9,40.7,19.1,86.1,120.8,1127.8,940.5,71.6,31.8,26.7,1.8,1.7,10.0,34.7,1807.4,1815.5,1807.4,-6.0,4.3,0.0,1815.5,False,,Scrambled
1011060,4,20000457,1,2023,Kyle Lowry,MIA,PG,32,20000004,2023-01-02T05:12:02,32,1113.6,1357,54,165.0,406.6,48.6,62.0,75.3,153.1,58.8,89.7,253.6,42.3,106.4,124.4,102.4,29.9,147.1,177.0,3.5,15.6,10.7,223.7,43.1,19.1,84.9,107.6,526.2,461.4,68.2,19.1,28.5,2.2,2.0,18.6,21.3,1175.8,1215.1,1175.8,-26.3,2.9,1.4,1215.1,False,,Scrambled
1010843,13,20000464,1,2023,James Johnson,IND,PF,0,20000013,2023-01-02T05:12:02,9,45.6,85,26,10.0,22.7,44.0,50.4,8.6,14.4,59.8,1.4,10.0,17.1,0.0,0.0,0.0,0.0,11.4,11.4,0.0,14.5,8.8,7.2,1.4,4.3,2.9,20.3,17.9,22.7,47.2,4.9,11.0,0.9,5.3,11.4,14.9,50.4,47.8,50.4,8.6,0.0,0.0,47.8,False,,Scrambled
1010147,27,20000468,1,2023,Anthony Davis,LAL,C,25,20000027,2023-01-02T05:12:02,25,1520.6,999,51,305.0,513.1,71.0,72.5,294.2,476.0,73.9,10.8,37.1,34.7,198.5,240.4,98.8,93.3,267.9,361.2,12.4,33.2,23.2,78.9,39.5,63.4,56.2,81.3,819.3,618.9,79.2,45.0,16.3,2.7,7.6,11.9,34.3,1623.5,1604.4,1623.5,57.4,21.5,0.0,1604.4,False,,Scrambled
1011010,22,20000471,1,2023,Eric Gordon,HOU,SF,30,20000022,2023-01-02T05:12:02,30,622.9,1062,38,137.5,337.3,48.8,60.3,73.0,149.5,58.4,64.6,187.8,41.1,63.4,77.7,97.5,11.4,61.0,70.6,1.4,8.9,5.1,86.1,21.5,13.2,63.4,27.5,403.1,371.5,64.9,13.6,14.2,1.4,1.7,17.4,20.4,657.6,690.4,657.6,-122.0,0.0,0.0,690.4,False,,Scrambled
1011845,15,20000474,1,2023,Jrue Holiday,MIL,PG,25,20000015,2023-01-02T05:12:02,26,1153.4,1027,51,218.9,483.2,54.2,62.8,149.5,293.0,61.0,69.4,190.2,43.7,80.1,89.7,106.8,39.5,124.4,163.9,5.9,15.0,10.0,232.0,47.8,14.4,102.9,62.2,587.2,522.7,67.2,27.4,42.7,3.2,1.7,19.7,30.7,1215.6,1260.3,1215.6,198.5,10.0,0.0,1260.3,False,,Scrambled
1010144,26,20000482,1,2023,Draymond Green,GS,PF,33,20000026,2023-01-02T05:12:02,33,1043.6,1218,36,128.0,250.0,61.2,67.0,104.1,177.0,70.3,23.9,73.0,39.2,37.1,51.4,86.2,31.1,229.6,260.7,4.1,24.5,14.1,260.7,27.5,31.1,94.5,114.8,316.9,272.6,69.5,17.8,33.1,1.5,3.3,30.8,15.2,1102.2,1123.0,1102.2,200.9,5.7,0.0,1123.0,False,,Scrambled
1011085,30,20000483,1,2023,Harrison Barnes,SAC,SF,35,20000030,2023-01-02T05:12:02,35,975.9,1314,51,175.8,381.5,55.1,63.0,124.4,215.3,69.1,51.4,166.2,37.0,167.4,206.9,96.8,39.5,181.8,221.3,5.0,18.5,11.5,74.2,35.9,5.7,52.6,57.4,570.5,472.6,72.2,19.9,10.7,1.8,0.4,12.0,20.4,1016.6,1039.0,1016.6,67.0,0.0,0.0,1039.0,False,,Scrambled
1010140,26,20000485,1,2023,Stephen Curry,GS,PG,26,20000026,2023-01-02T05:12:02,26,1483.9,1069,1,313.4,626.7,59.8,74.9,156.7,265.5,70.6,156.7,361.2,51.9,148.3,161.5,109.9,19.1,185.4,204.5,2.8,22.5,12.6,211.7,32.3,10.8,96.9,64.6,931.7,697.7,79.9,40.4,40.5,2.0,1.3,14.6,37.5,1526.9,1635.2,1526.9,173.4,10.0,1.4,1635.2,False,,Scrambled
