Name,Team,Wins,Losses,Possessions,FGP,EFGP,2PP,3PP,FreeThrowsMade,FreeThrowsAttempted,FTP,OffensiveRebounds,DefensiveRebounds,Rebounds,ORP,DRP,TRP,Assists,Steals,BlockedShots,Turnovers,PF,Points,TrueShootingAttempts,TSP,AP,SP,BP,TOP,URP
Golden State Warriors,GS,1.0,0.0,73.3,46.9,55.5,48.4,44.6,6.6,10.1,65.6,4.2,26.4,31.8,,,,25.6,3.0,1.2,13.2,11.6,99.2,67.2,57.4,,,,,
Golden State Warriors,GS,1.0,0.0,73.9,31.5,35.4,39.5,19.4,20.2,25.6,61.1,10.1,29.4,39.5,,,,17.8,4.8,0.6,7.2,17.0,77.5,74.0,40.6,,,,,
Golden State Warriors,GS,1.0,0.0,82.5,40.8,47.1,41.7,38.8,6.0,6.0,77.5,5.4,27.9,34.9,,,,30.2,6.0,3.0,11.6,20.2,99.2,78.6,48.9,,,,,
Golden State Warriors,GS,1.0,0.0,72.7,40.2,48.0,43.1,36.5,6.6,11.6,56.8,4.2,31.0,36.4,,,,22.5,4.8,4.8,11.6,21.7,84.5,66.3,49.4,,,,,
Golden State Warriors,GS,1.0,0.0,73.1,36.9,46.1,43.1,32.3,6.6,7.2,71.1,3.6,27.1,31.8,,,,23.2,3.0,3.6,6.6,17.0,86.0,69.2,48.0,,,,,
Golden State Warriors,GS,0.0,1.0,80.0,32.7,39.2,37.9,26.5,15.5,19.4,62.0,6.0,29.4,37.2,,,,20.2,4.2,2.4,16.3,18.6,79.8,72.8,42.5,,,,,
Golden State Warriors,GS,0.0,1.0,78.6,31.5,36.3,35.8,24.0,15.5,20.2,59.6,4.2,25.6,31.0,,,,14.0,3.6,4.2,11.6,20.9,73.6,71.6,39.8,,,,,
Golden State Warriors,GS,0.0,1.0,77.3,33.1,36.6,41.5,18.8,24.0,30.2,61.6,10.1,25.6,35.6,,,,15.5,4.8,1.2,6.0,18.6,89.1,82.3,42.0,,,,,
Golden State Warriors,GS,0.0,1.0,74.1,37.0,43.1,45.9,26.4,6.0,10.1,59.6,10.8,25.6,36.4,,,,20.9,2.4,0.6,12.4,17.0,85.2,74.2,44.6,,,,,
Golden State Warriors,GS,1.0,0.0,71.2,40.2,48.3,47.3,32.3,17.8,20.9,66.0,4.2,29.4,34.9,,,,17.8,3.0,1.2,6.6,18.6,91.4,68.9,51.4,,,,,
Golden State Warriors,GS,0.0,1.0,72.8,31.0,36.5,33.6,26.7,6.6,12.4,53.3,7.2,27.9,37.2,,,,16.3,3.6,1.8,14.0,17.8,69.8,71.3,37.9,,,,,
Golden State Warriors,GS,0.0,1.0,73.2,35.3,39.6,40.8,25.8,11.6,16.3,55.3,15.5,28.7,44.2,,,,20.2,3.0,0.6,11.6,15.5,83.7,76.9,42.2,,,,,
Golden State Warriors,GS,0.0,1.0,70.9,28.8,34.3,42.9,17.7,10.1,12.4,62.9,4.2,24.0,29.4,,,,14.7,4.8,2.4,4.8,16.3,68.2,72.1,36.7,,,,,
Golden State Warriors,GS,1.0,0.0,76.4,41.5,49.8,53.6,31.0,14.0,17.0,63.4,3.6,29.4,34.1,,,,20.2,4.2,2.4,10.1,16.3,97.6,72.6,52.2,,,,,
Golden State Warriors,GS,1.0,0.0,73.9,37.5,45.0,43.6,31.0,10.8,11.6,72.3,7.2,33.3,42.6,,,,25.6,1.8,4.2,6.0,14.7,94.6,77.2,47.5,,,,,
Golden State Warriors,GS,1.0,0.0,72.2,37.0,43.2,47.2,25.8,11.6,15.5,58.1,4.8,21.7,27.9,,,,20.2,5.4,2.4,4.2,19.4,87.6,75.0,45.1,,,,,
Golden State Warriors,GS,1.0,0.0,78.4,37.0,42.1,41.4,29.6,6.6,10.1,65.6,6.0,31.8,39.5,,,,25.6,4.8,3.6,12.4,15.5,86.8,75.7,44.5,,,,,
Golden State Warriors,GS,0.0,1.0,78.9,39.6,47.6,45.2,32.9,13.2,17.8,57.3,5.4,24.8,31.8,,,,22.5,3.0,0.0,10.8,23.2,96.1,76.0,49.1,,,,,
Golden State Warriors,GS,0.0,1.0,79.7,38.8,45.5,41.4,34.2,5.4,14.7,36.7,6.0,24.0,31.8,,,,17.0,6.6,2.4,12.4,15.5,89.9,77.8,44.7,,,,,
Golden State Warriors,GS,0.0,1.0,70.4,42.1,49.8,44.1,38.8,6.0,10.1,59.6,6.0,20.9,28.7,,,,20.2,4.2,3.0,11.6,14.7,87.6,67.2,50.6,,,,,
Golden State Warriors,GS,0.0,1.0,82.7,35.3,41.3,48.2,22.4,14.7,17.0,67.0,4.8,24.8,31.0,,,,20.2,6.6,1.8,13.2,19.4,88.4,77.3,44.4,,,,,
Golden State Warriors,GS,0.0,1.0,74.9,33.2,37.5,41.7,21.9,7.2,15.5,46.5,7.2,24.8,34.1,,,,20.9,11.6,1.2,6.0,17.8,78.3,77.3,39.1,,,,,
Golden State Warriors,GS,1.0,0.0,77.5,39.6,45.8,49.4,28.4,20.9,24.8,65.4,6.0,27.9,35.6,,,,27.9,6.0,4.2,7.2,17.8,102.3,79.1,50.1,,,,,
Golden State Warriors,GS,0.0,1.0,77.8,40.1,44.6,51.2,22.8,12.4,18.6,51.7,4.8,22.5,28.7,,,,20.2,10.1,3.0,6.0,16.3,89.9,75.6,46.1,,,,,
Golden State Warriors,GS,0.0,1.0,75.1,35.1,42.4,39.6,30.2,6.0,10.1,59.6,4.2,24.0,29.4,,,,17.8,4.2,1.8,10.8,14.0,80.6,71.1,44.0,,,,,
Golden State Warriors,GS,1.0,0.0,76.9,34.4,39.6,41.7,24.5,19.4,26.4,57.0,6.0,31.0,38.8,,,,18.6,2.4,1.8,5.4,18.6,90.7,81.3,43.2,,,,,
Golden State Warriors,GS,0.0,1.0,76.2,35.8,42.5,45.5,25.8,11.6,13.2,68.4,3.0,25.6,29.4,,,,20.9,2.4,3.0,4.2,18.6,88.4,76.3,44.9,,,,,
Golden State Warriors,GS,0.0,1.0,71.2,27.8,35.8,26.6,28.8,10.1,13.2,59.3,1.8,24.8,27.1,,,,13.2,4.8,1.8,6.6,14.7,65.9,66.2,38.5,,,,,
Golden State Warriors,GS,1.0,0.0,74.0,38.8,45.3,51.7,27.0,10.1,13.2,59.3,3.6,26.4,31.0,,,,23.2,7.2,1.8,11.6,14.7,85.2,69.3,47.7,,,,,
Golden State Warriors,GS,1.0,0.0,74.3,43.4,52.6,49.8,36.9,7.2,12.4,58.1,5.4,24.0,31.0,,,,20.9,6.6,1.8,11.6,14.7,97.6,70.6,53.6,,,,,
Golden State Warriors,GS,1.0,0.0,76.0,34.7,42.8,35.6,33.7,14.0,14.0,77.5,11.6,24.0,35.6,,,,23.2,6.0,1.8,10.8,13.2,96.1,80.5,46.2,,,,,
Golden State Warriors,GS,1.0,0.0,76.0,41.7,50.4,50.4,32.9,14.7,17.8,64.0,4.2,26.4,31.8,,,,17.8,6.0,4.8,10.8,18.6,94.6,69.8,52.5,,,,,
Golden State Warriors,GS,1.0,0.0,74.6,31.6,37.2,38.1,24.1,12.4,14.0,68.9,12.4,30.2,42.6,,,,18.6,4.8,4.8,6.0,17.8,85.2,82.1,40.2,,,,,
Golden State Warriors,GS,1.0,0.0,77.9,41.6,51.1,38.8,45.2,11.6,16.3,55.3,6.0,28.7,36.4,,,,24.0,4.8,1.8,14.0,17.8,96.1,70.7,52.8,,,,,
Golden State Warriors,GS,1.0,0.0,76.6,41.3,48.8,50.6,30.6,11.6,14.0,64.6,7.2,35.6,45.0,,,,24.0,4.8,1.2,10.8,13.2,100.8,77.4,50.4,,,,,
Golden State Warriors,GS,1.0,0.0,63.7,33.6,39.2,43.5,24.0,5.4,6.0,69.8,6.0,23.2,31.0,,,,14.7,4.8,3.0,5.4,14.7,72.8,67.7,41.6,,,,,
Golden State Warriors,GS,1.0,0.0,76.4,37.3,42.1,44.1,25.8,13.2,17.0,59.9,4.2,26.4,31.8,,,,19.4,2.4,5.4,13.2,14.0,81.4,70.3,45.0,,,,,
Golden State Warriors,GS,0.0,1.0,84.4,34.6,37.9,49.2,16.6,18.6,22.5,64.2,11.6,29.4,41.1,,,,21.7,6.6,3.6,16.3,21.7,90.7,82.7,42.4,,,,,
